coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-2.33,0,0.12,-2.59,-2.41,-2.33,-2.25,-2.1,1.01
phi,12.04,0.04,2.56,7.95,10.27,11.74,13.48,17.99,1
gamma_PVI,1.12,0.01,0.3,0.55,0.93,1.12,1.32,1.69,1
gamma_RPI,-0.74,0,0.29,-1.34,-0.93,-0.74,-0.55,-0.18,1
gamma_aridity,-0.76,0,0.24,-1.23,-0.91,-0.76,-0.6,-0.29,1
gamma_surface.water,-0.4,0,0.27,-0.91,-0.59,-0.41,-0.23,0.12,1
beta_PVI,0.45,0,0.19,0.06,0.32,0.45,0.57,0.82,1
beta_RPI,0.04,0,0.16,-0.26,-0.06,0.04,0.14,0.34,1
beta_log.pop,0.35,0,0.16,0.04,0.24,0.35,0.45,0.67,1
beta_pop.growth,0.56,0,0.2,0.16,0.43,0.56,0.7,0.94,1
beta_aridity,-0.01,0,0.31,-0.62,-0.21,-0.02,0.19,0.6,1
beta_surface.water,-0.07,0,0.1,-0.27,-0.14,-0.07,0,0.14,1
delta_AL,-1.89,0.07,1.53,-5.68,-2.62,-1.63,-0.83,0.29,1.01
delta_AR,0.04,0,0.29,-0.54,-0.12,0.04,0.21,0.67,1
delta_AZ,-0.09,0,0.27,-0.67,-0.25,-0.07,0.08,0.41,1
delta_CA,0.26,0.01,0.23,-0.15,0.09,0.24,0.4,0.77,1
delta_CO,0.36,0.01,0.32,-0.12,0.12,0.32,0.55,1.07,1.01
delta_CT,0.23,0.01,0.32,-0.3,0.01,0.18,0.4,0.99,1
delta_DC,-0.15,0,0.31,-0.88,-0.32,-0.11,0.05,0.38,1
delta_FL,0.09,0,0.22,-0.33,-0.06,0.07,0.22,0.54,1
delta_GA,0.12,0,0.26,-0.35,-0.04,0.1,0.27,0.66,1
delta_IA,-0.03,0,0.28,-0.61,-0.18,-0.02,0.13,0.52,1
delta_ID,0.04,0,0.29,-0.56,-0.12,0.03,0.2,0.64,1
delta_IL,-0.1,0,0.27,-0.69,-0.26,-0.07,0.07,0.39,1
delta_IN,0.12,0,0.29,-0.41,-0.06,0.1,0.28,0.75,1
delta_KS,0.12,0,0.31,-0.44,-0.07,0.09,0.29,0.79,1
delta_KY,0.1,0,0.28,-0.45,-0.07,0.08,0.26,0.74,1
delta_LA,-0.06,0,0.29,-0.71,-0.22,-0.04,0.11,0.49,1
delta_MA,0.1,0,0.29,-0.45,-0.08,0.08,0.26,0.73,1
delta_MD,-0.03,0,0.28,-0.64,-0.18,-0.02,0.14,0.51,1
delta_ME,0.02,0,0.28,-0.56,-0.14,0.02,0.18,0.59,1
delta_MI,-0.14,0,0.26,-0.73,-0.29,-0.11,0.03,0.34,1
delta_MN,-0.07,0,0.28,-0.68,-0.23,-0.04,0.1,0.45,1
delta_MO,0.01,0,0.27,-0.56,-0.14,0.01,0.16,0.56,1
delta_MS,0.04,0,0.3,-0.58,-0.11,0.04,0.2,0.66,1
delta_NC,0.18,0,0.25,-0.25,0.01,0.15,0.33,0.77,1
delta_ND,-0.03,0,0.31,-0.72,-0.2,-0.02,0.15,0.57,1
delta_NE,0.07,0,0.28,-0.47,-0.1,0.05,0.23,0.66,1
delta_NH,0.01,0,0.31,-0.63,-0.16,0.01,0.18,0.66,1
delta_NJ,0.03,0,0.3,-0.57,-0.14,0.03,0.2,0.62,1
delta_NM,0.17,0,0.31,-0.36,-0.02,0.14,0.34,0.9,1
delta_NV,-0.06,0,0.27,-0.65,-0.21,-0.05,0.1,0.44,1
delta_NY,-0.06,0,0.26,-0.63,-0.2,-0.05,0.1,0.44,1
delta_OH,0.07,0,0.24,-0.39,-0.08,0.06,0.22,0.56,1
delta_OK,-0.04,0,0.29,-0.67,-0.2,-0.03,0.13,0.51,1
delta_OR,0.14,0,0.27,-0.35,-0.04,0.11,0.3,0.75,1
delta_PA,0.11,0,0.26,-0.38,-0.05,0.1,0.27,0.66,1
delta_RI,0.14,0.01,0.33,-0.46,-0.06,0.1,0.3,0.89,1
delta_SC,-0.1,0,0.27,-0.7,-0.24,-0.07,0.07,0.39,1
delta_SD,0.09,0,0.31,-0.51,-0.08,0.07,0.26,0.76,1
delta_TN,-0.03,0,0.28,-0.63,-0.19,-0.02,0.13,0.5,1
delta_TX,-0.18,0,0.23,-0.69,-0.32,-0.16,-0.02,0.22,1
delta_UT,0.05,0,0.27,-0.49,-0.1,0.05,0.21,0.61,1
delta_VA,0.13,0,0.28,-0.39,-0.04,0.11,0.29,0.76,1
delta_WA,0.2,0,0.28,-0.29,0.01,0.18,0.37,0.84,1.01
delta_WI,-0,0,0.27,-0.57,-0.15,0.01,0.16,0.55,1
delta_WV,0.01,0,0.31,-0.64,-0.16,0.02,0.18,0.64,1
