coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-2.34,0,0.12,-2.58,-2.42,-2.33,-2.25,-2.11,1
phi,12.07,0.04,2.46,8.04,10.3,11.78,13.59,17.46,1
gamma_PVI,1.13,0.01,0.29,0.55,0.94,1.13,1.32,1.7,1
gamma_RPI,-0.75,0,0.28,-1.3,-0.94,-0.75,-0.55,-0.18,1
gamma_aridity,-0.75,0,0.24,-1.24,-0.91,-0.75,-0.59,-0.26,1
gamma_surface.water,-0.41,0,0.26,-0.91,-0.59,-0.41,-0.23,0.11,1
beta_PVI,0.45,0,0.19,0.09,0.33,0.45,0.58,0.84,1
beta_RPI,0.04,0,0.15,-0.27,-0.05,0.05,0.15,0.33,1
beta_log.pop,0.35,0,0.15,0.05,0.25,0.35,0.46,0.65,1
beta_pop.growth,0.57,0,0.19,0.2,0.45,0.57,0.69,0.93,1
beta_aridity,-0.01,0,0.31,-0.64,-0.21,-0.01,0.2,0.61,1
beta_surface.water,-0.08,0,0.1,-0.28,-0.14,-0.08,-0,0.13,1
delta_AL,-1.84,0.07,1.5,-5.56,-2.58,-1.57,-0.78,0.32,1
delta_AR,0.04,0,0.29,-0.55,-0.12,0.03,0.2,0.63,1
delta_AZ,-0.1,0,0.26,-0.68,-0.24,-0.07,0.07,0.39,1
delta_CA,0.25,0.01,0.24,-0.15,0.08,0.22,0.4,0.76,1
delta_CO,0.36,0.02,0.32,-0.12,0.13,0.31,0.54,1.08,1
delta_CT,0.22,0,0.31,-0.28,0.01,0.17,0.39,0.94,1
delta_DC,-0.15,0,0.31,-0.88,-0.32,-0.11,0.05,0.39,1
delta_FL,0.07,0,0.21,-0.33,-0.06,0.06,0.2,0.52,1
delta_GA,0.12,0,0.27,-0.37,-0.04,0.09,0.27,0.71,1
delta_IA,-0.03,0,0.28,-0.64,-0.18,-0.02,0.13,0.5,1
delta_ID,0.04,0,0.28,-0.52,-0.13,0.03,0.19,0.63,1
delta_IL,-0.1,0,0.28,-0.73,-0.25,-0.08,0.06,0.4,1
delta_IN,0.12,0,0.27,-0.39,-0.05,0.1,0.27,0.71,1
delta_KS,0.12,0,0.3,-0.45,-0.07,0.08,0.28,0.79,1
delta_KY,0.1,0,0.3,-0.46,-0.08,0.08,0.27,0.74,1
delta_LA,-0.06,0,0.28,-0.67,-0.21,-0.04,0.11,0.46,1
delta_MA,0.1,0,0.29,-0.46,-0.07,0.08,0.25,0.75,1
delta_MD,-0.01,0,0.27,-0.59,-0.17,-0.01,0.14,0.53,1
delta_ME,0.01,0,0.29,-0.6,-0.15,0.01,0.17,0.63,1
delta_MI,-0.14,0,0.26,-0.72,-0.29,-0.11,0.03,0.33,1
delta_MN,-0.06,0,0.28,-0.68,-0.21,-0.04,0.11,0.46,1
delta_MO,0.01,0,0.27,-0.56,-0.14,0.02,0.17,0.59,1
delta_MS,0.04,0,0.29,-0.57,-0.12,0.04,0.21,0.66,1
delta_NC,0.18,0,0.24,-0.24,0.01,0.15,0.33,0.71,1
delta_ND,-0.03,0,0.31,-0.69,-0.19,-0.02,0.14,0.55,1
delta_NE,0.06,0,0.3,-0.54,-0.1,0.05,0.23,0.69,1
delta_NH,-0,0,0.3,-0.66,-0.16,0,0.16,0.62,1
delta_NJ,0.04,0,0.28,-0.55,-0.12,0.03,0.2,0.62,1
delta_NM,0.17,0,0.31,-0.35,-0.02,0.13,0.33,0.9,1
delta_NV,-0.07,0,0.26,-0.64,-0.22,-0.05,0.09,0.46,1
delta_NY,-0.06,0,0.25,-0.58,-0.2,-0.04,0.09,0.41,1
delta_OH,0.07,0,0.25,-0.41,-0.08,0.06,0.23,0.61,1
delta_OK,-0.04,0,0.29,-0.71,-0.2,-0.02,0.13,0.52,1
delta_OR,0.14,0,0.27,-0.35,-0.03,0.11,0.28,0.76,1
delta_PA,0.11,0,0.25,-0.34,-0.05,0.09,0.26,0.64,1
delta_RI,0.14,0,0.31,-0.41,-0.06,0.1,0.31,0.81,1
delta_SC,-0.09,0,0.26,-0.67,-0.23,-0.07,0.07,0.4,1
delta_SD,0.1,0,0.29,-0.46,-0.08,0.08,0.26,0.76,1
delta_TN,-0.04,0,0.27,-0.61,-0.19,-0.02,0.13,0.5,1
delta_TX,-0.18,0,0.23,-0.69,-0.33,-0.16,-0.02,0.23,1
delta_UT,0.05,0,0.27,-0.48,-0.11,0.04,0.21,0.61,1
delta_VA,0.13,0,0.28,-0.38,-0.05,0.1,0.29,0.75,1
delta_WA,0.2,0,0.27,-0.26,0.02,0.17,0.36,0.81,1
delta_WI,0,0,0.26,-0.56,-0.15,0.01,0.15,0.51,1
delta_WV,0.01,0,0.31,-0.64,-0.15,0.02,0.18,0.64,1
