coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-1.97,0,0.09,-2.15,-2.03,-1.97,-1.91,-1.78,1
phi,15.91,0.05,2.93,11.03,13.85,15.64,17.63,22.48,1
gamma_PVI,0.77,0.01,0.28,0.21,0.58,0.77,0.95,1.31,1
gamma_RPI,-0.11,0,0.25,-0.61,-0.29,-0.11,0.05,0.39,1
gamma_aridity,-0.96,0.01,0.25,-1.45,-1.12,-0.96,-0.8,-0.48,1
gamma_surface.water,-0.4,0,0.25,-0.89,-0.56,-0.41,-0.25,0.1,1
beta_PVI,0.58,0,0.14,0.3,0.48,0.58,0.67,0.86,1
beta_RPI,0.11,0,0.12,-0.14,0.03,0.11,0.19,0.34,1
beta_log.pop,0.26,0,0.13,-0,0.17,0.26,0.34,0.52,1
beta_pop.growth,0.35,0,0.17,0.02,0.24,0.35,0.46,0.67,1
beta_aridity,-0.67,0,0.24,-1.15,-0.84,-0.67,-0.51,-0.19,1
beta_surface.water,-0.18,0,0.08,-0.34,-0.24,-0.18,-0.13,-0.02,1
delta_AL,-0.49,0.01,0.73,-2.1,-0.93,-0.42,0.01,0.74,1
delta_AR,-0.1,0.01,0.37,-0.85,-0.33,-0.09,0.14,0.65,1
delta_AZ,-0.3,0,0.31,-0.93,-0.51,-0.29,-0.1,0.28,1
delta_CA,0.59,0.01,0.25,0.12,0.42,0.58,0.75,1.11,1
delta_CO,-0.02,0,0.29,-0.59,-0.21,-0.02,0.17,0.56,1
delta_CT,0,0.01,0.35,-0.7,-0.23,0,0.23,0.69,1
delta_DC,-0.04,0.01,0.4,-0.87,-0.29,-0.03,0.21,0.75,1
delta_FL,0.61,0.01,0.25,0.13,0.44,0.6,0.78,1.12,1
delta_GA,0.48,0,0.31,-0.09,0.26,0.47,0.68,1.09,1
delta_IA,-0.19,0.01,0.32,-0.86,-0.4,-0.18,0.03,0.4,1
delta_ID,-0.31,0.01,0.37,-1.09,-0.54,-0.29,-0.06,0.39,1
delta_IL,0.07,0,0.3,-0.54,-0.13,0.07,0.27,0.67,1
delta_IN,-0.2,0.01,0.33,-0.92,-0.41,-0.18,0.02,0.41,1
delta_KS,-0.03,0.01,0.37,-0.79,-0.27,-0.03,0.21,0.69,1
delta_KY,-0.06,0.01,0.37,-0.83,-0.28,-0.04,0.19,0.66,1
delta_LA,0.05,0.01,0.33,-0.6,-0.16,0.05,0.28,0.7,1
delta_MA,0.27,0.01,0.35,-0.41,0.04,0.26,0.5,1,1
delta_MD,-0.07,0.01,0.35,-0.8,-0.29,-0.06,0.15,0.58,1
delta_ME,-0.02,0.01,0.39,-0.83,-0.26,-0.01,0.22,0.75,1
delta_MI,-0.54,0.01,0.33,-1.25,-0.76,-0.53,-0.3,0.05,1
delta_MN,-0.46,0.01,0.38,-1.28,-0.69,-0.43,-0.19,0.19,1
delta_MO,-0.01,0.01,0.32,-0.66,-0.22,-0,0.21,0.61,1
delta_MS,-0.25,0.01,0.39,-1.08,-0.48,-0.23,0.01,0.48,1
delta_NC,0.04,0,0.27,-0.51,-0.13,0.04,0.22,0.59,1
delta_ND,-0.04,0.01,0.4,-0.84,-0.3,-0.03,0.22,0.74,1
delta_NE,-0.24,0.01,0.36,-1.01,-0.46,-0.22,0,0.41,1
delta_NH,0.16,0.01,0.42,-0.68,-0.11,0.16,0.43,1.02,1
delta_NJ,0.08,0.01,0.36,-0.64,-0.14,0.08,0.32,0.81,1
delta_NM,0.28,0.01,0.38,-0.42,0.03,0.26,0.52,1.05,1
delta_NV,0.04,0.01,0.32,-0.58,-0.17,0.04,0.26,0.66,1
delta_NY,0.41,0,0.29,-0.14,0.21,0.4,0.61,1.01,1
delta_OH,-0.04,0,0.28,-0.6,-0.22,-0.05,0.14,0.5,1
delta_OK,0.17,0.01,0.37,-0.56,-0.08,0.16,0.4,0.94,1
delta_OR,-0.36,0.01,0.34,-1.07,-0.59,-0.35,-0.13,0.27,1
delta_PA,0.12,0,0.27,-0.41,-0.06,0.12,0.31,0.64,1
delta_RI,0.08,0.01,0.4,-0.71,-0.17,0.08,0.34,0.88,1
delta_SC,0.13,0.01,0.32,-0.51,-0.08,0.13,0.35,0.77,1
delta_SD,0.4,0.01,0.41,-0.36,0.12,0.37,0.65,1.25,1
delta_TN,-0.03,0.01,0.32,-0.68,-0.24,-0.02,0.18,0.59,1
delta_TX,0.17,0,0.22,-0.25,0.02,0.16,0.32,0.62,1
delta_UT,0.35,0.01,0.35,-0.3,0.11,0.34,0.57,1.07,1
delta_VA,0.02,0.01,0.32,-0.63,-0.2,0.02,0.24,0.63,1
delta_WA,-0.37,0,0.3,-0.99,-0.57,-0.36,-0.17,0.19,1
delta_WI,-0.46,0.01,0.33,-1.16,-0.66,-0.44,-0.24,0.11,1
delta_WV,0.11,0.01,0.41,-0.7,-0.15,0.11,0.38,0.92,1
