coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-1.97,0,0.09,-2.16,-2.03,-1.97,-1.9,-1.79,1
phi,15.93,0.07,3.01,10.92,13.85,15.62,17.7,22.63,1
gamma_PVI,0.76,0.01,0.27,0.24,0.58,0.77,0.95,1.28,1
gamma_RPI,-0.11,0.01,0.25,-0.6,-0.28,-0.11,0.05,0.39,1
gamma_aridity,-0.97,0.01,0.25,-1.47,-1.13,-0.96,-0.8,-0.49,1
gamma_surface.water,-0.4,0,0.25,-0.87,-0.56,-0.41,-0.24,0.09,1
beta_PVI,0.58,0,0.14,0.29,0.48,0.58,0.67,0.86,1
beta_RPI,0.11,0,0.12,-0.14,0.02,0.11,0.19,0.34,1
beta_log.pop,0.26,0,0.13,0.01,0.17,0.26,0.35,0.52,1
beta_pop.growth,0.35,0,0.16,0.04,0.24,0.35,0.46,0.68,1
beta_aridity,-0.67,0,0.24,-1.14,-0.83,-0.67,-0.51,-0.21,1
beta_surface.water,-0.18,0,0.08,-0.35,-0.24,-0.18,-0.12,-0.01,1
delta_AL,-0.48,0.01,0.74,-2.11,-0.91,-0.41,0.03,0.8,1
delta_AR,-0.09,0.01,0.37,-0.88,-0.32,-0.08,0.15,0.64,1
delta_AZ,-0.31,0.01,0.33,-0.99,-0.53,-0.3,-0.08,0.33,1
delta_CA,0.59,0.01,0.24,0.15,0.42,0.58,0.75,1.09,1
delta_CO,-0.02,0,0.29,-0.6,-0.21,-0.02,0.16,0.53,1
delta_CT,-0.01,0.01,0.35,-0.71,-0.23,-0,0.23,0.66,1
delta_DC,-0.02,0.01,0.4,-0.82,-0.28,-0.02,0.25,0.74,1
delta_FL,0.61,0.01,0.25,0.14,0.45,0.62,0.78,1.11,1
delta_GA,0.48,0.01,0.31,-0.11,0.27,0.48,0.68,1.12,1
delta_IA,-0.18,0.01,0.32,-0.84,-0.38,-0.17,0.04,0.41,1
delta_ID,-0.31,0.01,0.38,-1.13,-0.56,-0.29,-0.05,0.38,1
delta_IL,0.06,0,0.3,-0.56,-0.14,0.07,0.26,0.64,1
delta_IN,-0.19,0.01,0.34,-0.91,-0.41,-0.18,0.03,0.42,1
delta_KS,-0.03,0.01,0.37,-0.8,-0.26,-0.03,0.21,0.67,1
delta_KY,-0.05,0.01,0.37,-0.78,-0.29,-0.04,0.19,0.69,1
delta_LA,0.05,0.01,0.34,-0.64,-0.17,0.05,0.27,0.71,1
delta_MA,0.27,0.01,0.35,-0.4,0.03,0.26,0.5,0.97,1
delta_MD,-0.08,0.01,0.34,-0.78,-0.3,-0.07,0.15,0.57,1
delta_ME,-0.01,0.01,0.39,-0.81,-0.27,-0,0.24,0.76,1
delta_MI,-0.54,0.01,0.33,-1.25,-0.75,-0.51,-0.31,0.06,1
delta_MN,-0.47,0.01,0.39,-1.31,-0.71,-0.44,-0.19,0.2,1
delta_MO,-0.01,0.01,0.33,-0.68,-0.22,0,0.21,0.63,1
delta_MS,-0.24,0.01,0.38,-1.06,-0.47,-0.22,0.02,0.46,1
delta_NC,0.05,0,0.27,-0.5,-0.12,0.06,0.22,0.59,1
delta_ND,-0.04,0.01,0.4,-0.87,-0.3,-0.04,0.22,0.74,1
delta_NE,-0.25,0.01,0.36,-1.04,-0.47,-0.23,-0.01,0.43,1
delta_NH,0.17,0.01,0.41,-0.64,-0.1,0.16,0.43,0.99,1
delta_NJ,0.08,0.01,0.36,-0.62,-0.16,0.08,0.32,0.77,1
delta_NM,0.29,0.01,0.37,-0.38,0.04,0.27,0.51,1.04,1
delta_NV,0.04,0.01,0.32,-0.57,-0.18,0.04,0.25,0.68,1
delta_NY,0.41,0,0.3,-0.14,0.2,0.41,0.61,1,1
delta_OH,-0.05,0,0.27,-0.59,-0.22,-0.05,0.14,0.47,1
delta_OK,0.16,0.01,0.37,-0.58,-0.08,0.16,0.4,0.94,1
delta_OR,-0.37,0.01,0.35,-1.11,-0.59,-0.35,-0.13,0.26,1
delta_PA,0.13,0,0.26,-0.4,-0.04,0.14,0.31,0.63,1
delta_RI,0.07,0.01,0.4,-0.75,-0.18,0.08,0.33,0.87,1
delta_SC,0.13,0.01,0.33,-0.53,-0.09,0.13,0.35,0.78,1
delta_SD,0.39,0.01,0.41,-0.38,0.12,0.38,0.66,1.2,1
delta_TN,-0.04,0.01,0.33,-0.71,-0.24,-0.04,0.18,0.61,1
delta_TX,0.17,0,0.23,-0.27,0.02,0.16,0.31,0.62,1
delta_UT,0.35,0.01,0.35,-0.3,0.11,0.34,0.57,1.07,1
delta_VA,0.02,0.01,0.32,-0.62,-0.18,0.02,0.23,0.63,1
delta_WA,-0.37,0,0.3,-0.97,-0.56,-0.36,-0.17,0.19,1
delta_WI,-0.46,0.01,0.33,-1.17,-0.68,-0.45,-0.23,0.15,1
delta_WV,0.09,0.01,0.42,-0.75,-0.17,0.09,0.35,0.93,1
