coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-1.9738225677561345,0.0022820209950134606,0.09410443045059533,-2.166248129113361,-2.0364889236896104,-1.9735549885075105,-1.9099345450011675,-1.7934105392074393,1.001339740182837
phi,15.86744217730474,0.04675339488279012,2.9569443234975563,10.807213123601759,13.77567096991732,15.600636831061,17.63490656094422,22.369730412394,0.9994141041555051
gamma_PVI,0.7559569860013023,0.005810886323134903,0.2681483028778997,0.21085155917736145,0.5768984308465717,0.7596222748653811,0.9368085086867979,1.2687989097798171,1.0011041571880506
gamma_RPI,-0.12473926159655643,0.005217243179744363,0.25782002286253486,-0.6346556595041477,-0.30009229193551745,-0.12082667956666164,0.04676740043246444,0.3759230387930215,1.0001994498251796
gamma_aridity,-0.9878312436419745,0.00553252623728515,0.2481960965360301,-1.4921831704142487,-1.149914937730259,-0.9817011769062773,-0.821958768868422,-0.5216939870651982,1.0004520956870548
gamma_surface.water,-0.39544790022489207,0.005257461137800075,0.25078888772532554,-0.8808152953032427,-0.5691448133583149,-0.4000774519436274,-0.23358763405555139,0.12526244946598689,1.0005634550527258
beta_PVI,0.5603838681697326,0.002255221543312567,0.1426327341029557,0.27679613523528973,0.4681108468231061,0.5598465611636285,0.6565828152849201,0.8383501866988192,1.0003260209872724
beta_RPI,0.10302483464608239,0.0019414623463643586,0.1227888601193219,-0.13907706791755914,0.022464276522920767,0.10470424837218972,0.18568637903458415,0.33676170321758586,1.0002070538027727
beta_log.pop,0.27174369092190487,0.002021671348342305,0.12786172282130714,0.01539415181125411,0.18274131354684825,0.27396851078237006,0.36023261840764076,0.5168235483858569,0.9991447817576439
beta_pop.growth,0.3321746810848276,0.0028669376944822507,0.1660077719789563,0.001300827046275411,0.2230832057270433,0.3342452555276037,0.44344416081948135,0.6531433682076538,0.9997387611882057
beta_aridity,-0.6426096471488674,0.0038322715748066675,0.24237413577418837,-1.1117587115735008,-0.80474294598943,-0.6422568295629607,-0.47329598457137545,-0.1708947540687656,1.0012658747354546
beta_surface.water,-0.18006979148201632,0.001414442838395732,0.08311702757596941,-0.3402997663510989,-0.23574757014975908,-0.1816603905020603,-0.12570795466965462,-0.015390672970164944,1.0005483191696194
delta_AL,-0.4556768395583556,0.012106084492850385,0.7241087918063378,-2.074938946418125,-0.8726273056782559,-0.3836955527223249,0.046604004061668855,0.7836191793729578,0.9999530783746191
delta_AR,-0.09190721268982877,0.005954704923247221,0.376608607033587,-0.8584661450204942,-0.32429800644612916,-0.08440051225975315,0.15674579562177313,0.626950394728553,1.0013776888582004
delta_AZ,-0.3226474575580096,0.005198166530882837,0.3287609178889152,-0.9994677038226992,-0.5350167666751668,-0.3102957660413634,-0.10106405003735044,0.29633192088064814,1.000411597450335
delta_CA,0.6011990702155717,0.006441807928459986,0.2495128289097083,0.1317105673935863,0.43266198646432164,0.5968061620535703,0.7615404971416414,1.1252743455973135,1.0009526506540625
delta_CO,-0.021870893946558508,0.004717669150671037,0.29837159526465107,-0.6092694908069836,-0.2212845446327175,-0.01628982094561822,0.17643946970332663,0.5768153258698286,0.9996688000205365
delta_CT,0.026274238728410164,0.005678443431341204,0.35913629614920334,-0.6951646085364526,-0.205127194286019,0.032471758416401195,0.2576229092191581,0.7452527839309673,0.9996614641062799
delta_DC,-0.01000453926145253,0.006346722212248371,0.40140195734174916,-0.7965169111228986,-0.2549559519307863,-0.01050557503052123,0.246438659855494,0.7924632690043674,1.0008111882874229
delta_FL,0.6001181837858597,0.006141356966693883,0.24383736353500576,0.13502498139479657,0.431127840797205,0.5918915581267814,0.7651144275265055,1.0850957042976295,1.0005461873202288
delta_GA,0.49999774929265145,0.005030343847271959,0.31814687942387143,-0.09820085149304257,0.28346208017013136,0.49781446409014285,0.71369161951342,1.1605788816987554,1.0015248362727118
delta_IA,-0.1799654476625746,0.0050133956979997955,0.31707498434738024,-0.8482030654038394,-0.38361891634949175,-0.16362959342961875,0.03908534548354709,0.4091020861842986,0.9996382107452986
