coefficient,mean,std. err.,std. dev.,2.5%,25%,50%,75%,97.5%,Rhat
alpha_0,-1.4154467625133307,7.078621575805354e-4,0.04476913374791032,-1.5033156587734804,-1.44544725673701,-1.4157859264746229,-1.3841330091721071,-1.328786032692728,0.9994649440388407
phi,58.97754239289418,0.16864702620449903,10.666174468406371,41.795764543021136,51.60535008959255,57.814099296679984,64.92202774002642,83.81047325047058,0.9992423559181531
gamma_PVI,0.5143291930598634,0.0029701737215090205,0.16536124598420585,0.19200067539537716,0.40483759833095245,0.5106491546395824,0.6258253366759083,0.8461762458241301,1.0004274202690662
gamma_RPI,-0.21263193123967525,0.002925357943976892,0.15588416197839186,-0.5268069853008838,-0.3149024862958717,-0.21196069407145537,-0.10736124209720628,0.0935522778919654,1.000705656446931
gamma_aridity,-0.6741583339859901,0.003065707917011321,0.15391767958946168,-0.9733618135520646,-0.7760597512350997,-0.6732212912385437,-0.5713235549800659,-0.3738412714866891,1.0008010871944484
gamma_surface.water,-0.16745563442844652,0.0027866056979422025,0.14698165289820947,-0.4489201214042828,-0.26670900390294916,-0.1684283605103973,-0.07251651004810528,0.12320654381621748,1.0000070189089851
beta_PVI,0.3387201718106236,0.0012422127932568638,0.07856443530583083,0.17931621749050394,0.2871992161893636,0.3388624692854925,0.3915028513702342,0.49419714527972114,0.9996550672169306
beta_RPI,1.0499793474892168e-4,0.0010419245039763143,0.06589709165012636,-0.12939954838065998,-0.04599366922960371,1.6575576216803893e-4,0.044858042229478076,0.12622203174230234,0.9997201153772173
beta_log.pop,0.24139221186911083,0.001108284097044761,0.07009404082409064,0.10564000935565421,0.19408360690612403,0.23993845146861315,0.28771403922617,0.3826621027719395,0.9994721950972676
beta_pop.growth,0.3177532256016725,0.00133304349208216,0.08430907310088517,0.15576202449878054,0.2604380881927097,0.31964618450499355,0.3733197106016688,0.4839957097059996,0.9994602876016696
beta_aridity,-0.1484189787218774,0.002032479562076038,0.1285452942780373,-0.4033152096165875,-0.23329856728652104,-0.14969967651666632,-0.06468007947136498,0.09794265649264419,0.9993848809278222
beta_surface.water,-0.058669316233138535,7.212537272916356e-4,0.04561609098255032,-0.14658331152480528,-0.08865692558785233,-0.05989784126638486,-0.028347723383108068,0.030501574467832443,0.9996155190993076
delta_AL,0.06646355856068725,0.004557379854256835,0.2808750395926818,-0.49517336180995153,-0.11703687410790937,0.07151255808016499,0.2590195969742817,0.6118485407440621,1.0005424887413934
delta_AR,0.06582840706290614,0.0037705150338038698,0.23846830917453998,-0.40886100326247043,-0.08665263184669339,0.06663636691508854,0.22015777829985153,0.549379096987935,0.9999583118017058
delta_AZ,-0.159896219063473,0.0033007808372626747,0.2087597100557527,-0.5771433596778767,-0.29232388542053994,-0.15827065883316058,-0.02543167318766636,0.24992147110712468,1.0003539489556674
delta_CA,0.44427917525414723,0.0027007935206448883,0.15300159737352167,0.15610801094305268,0.33844718249533384,0.44111581312015247,0.5495866442615525,0.7365876006808493,0.9992325711361624
delta_CO,0.16514524717528964,0.0029032642658169835,0.18361855458716395,-0.19805744157862015,0.04341609724420049,0.16401608822514246,0.282916941581006,0.5389758135463203,0.9995109235593306
delta_CT,0.1921196574594668,0.0035893548798669474,0.2270107350203921,-0.23033801736711773,0.04089076534654494,0.18619052838230812,0.3400694596738687,0.6545621890535246,0.9995975007669498
delta_DC,-0.21420640528392412,0.004447869020700919,0.2813079367903505,-0.8034509999995326,-0.39924751081235244,-0.20882439191533542,-0.028193401265566898,0.33305329977742537,1.0001735094341708
delta_FL,0.4814431821871392,0.0020943722072039165,0.1324597288583697,0.21957220802941485,0.39140865744085995,0.48266217566202135,0.5716925625651307,0.7341069203666221,1.0010747948575909
delta_GA,0.3192158293577299,0.0028296357051244446,0.1789618755345966,-0.029877986998353097,0.20112929286085784,0.31729403191697403,0.4374488982739514,0.6690324343434084,0.9996927682117948
