msa.fips,dem.share,dem.share.natl,pvi
10100,0.4830440510969811,0.5282701767821113,-4.5226125685130185
10140,0.5736240201576148,0.5282701767821113,4.535384337550353
10180,0.2409221542256207,0.5282701767821113,-28.73480225564906
10220,0.31126201219124583,0.5282701767821113,-21.700816459086546
10300,0.5096251056065634,0.5282701767821113,-1.8645071175547923
10420,0.5730477221029119,0.5282701767821113,4.477754532080058
10460,0.3781185529258769,0.5282701767821113,-15.015162385623437
10500,0.535024776613962,0.5282701767821113,0.6754599831850672
10540,0.42717884485353685,0.5282701767821113,-10.109133192857445
10580,0.5778402922797752,0.5282701767821113,4.9570115497663885
10620,0.3061458850285828,0.5282701767821113,-22.21242917535285
10660,0.5800262480463112,0.5282701767821113,5.17560712641999
10700,0.20531513669755586,0.5282701767821113,-32.295504008455545
10740,0.5809747748351275,0.5282701767821113,5.27045980530162
10760,0.3268853076553683,0.5282701767821113,-20.138486912674303
10780,0.3291249044150536,0.5282701767821113,-19.91452723670577
10820,0.4364576893214669,0.5282701767821113,-9.18124874606444
10860,0.5830745759109104,0.5282701767821113,5.480439912879909
10900,0.5300078251484828,0.5282701767821113,0.17376483663714692
10940,0.5012805166515656,0.5282701767821113,-2.698966013054571
10980,0.4962546933662513,0.5282701767821113,-3.2015483415860024
11020,0.3527089120664535,0.5282701767821113,-17.55612647156578
11060,0.24938997104111726,0.5282701767821113,-27.888020574099404
11100,0.20599343397880604,0.5282701767821113,-32.227674280330525
11140,0.5022998937034877,0.5282701767821113,-2.597028307862359
11180,0.577025579569737,0.5282701767821113,4.8755402787625695
11220,0.4676032926309133,0.5282701767821113,-6.066688415119797
11260,0.39748510622024147,0.5282701767821113,-13.078507056186982
11380,0.175405880545291,0.5282701767821113,-35.28642962368203
11420,0.40618597263004363,0.5282701767821113,-12.208420415206767
11460,0.6947393929341111,0.5282701767821113,16.646921615199982
11500,0.3371369525640746,0.5282701767821113,-19.11332242180367
11540,0.5141175304947879,0.5282701767821113,-1.4152646287323378
11580,0.4326318277936031,0.5282701767821113,-9.563834898850821
11620,0.29199238903122127,0.5282701767821113,-23.627778775089002
11660,0.4740833531974284,0.5282701767821113,-5.418682358468291
11680,0.3597278703562147,0.5282701767821113,-16.854230642589663
11700,0.50109855538118,0.5282701767821113,-2.7171621400931323
11740,0.36409242975953976,0.5282701767821113,-16.417774702257155
11780,0.5672421852524512,0.5282701767821113,3.897200847033988
11820,0.5871923685713663,0.5282701767821113,5.892219178925496
11860,0.4283953271867602,0.5282701767821113,-9.98748495953511
11900,0.6810188317645494,0.5282701767821113,15.274865498243805
11940,0.28063059608095325,0.5282701767821113,-24.763958070115805
11980,0.24920186448703585,0.5282701767821113,-27.906831229507546
12020,0.48124237622364263,0.5282701767821113,-4.702780055846867
12060,0.5099030942662796,0.5282701767821113,-1.8367082515831745
12100,0.5806079986757293,0.5282701767821113,5.233782189361802
12120,0.3638630293873554,0.5282701767821113,-16.44071473947559
12140,0.3808697715207284,0.5282701767821113,-14.740040526138293
12180,0.5507733149037074,0.5282701767821113,2.25031381215961
12220,0.39960597886882987,0.5282701767821113,-12.866419791328143
12260,0.4599298555061536,0.5282701767821113,-6.834032127595768
12300,0.5723883546471077,0.5282701767821113,4.411817786499639
12380,0.6186188107933721,0.5282701767821113,9.034863401126081
12420,0.5543918882597099,0.5282701767821113,2.6121711477598564
12460,0.4348690391975223,0.5282701767821113,-9.340113758458902
12540,0.4117811130195068,0.5282701767821113,-11.648906376260449
12580,0.5889995322199283,0.5282701767821113,6.072935543781699
12620,0.5205276652116165,0.5282701767821113,-0.774251157049477
12660,0.60514277332765,0.5282701767821113,7.687259654553868
12680,0.42321737752450905,0.5282701767821113,-10.505279925760224
12700,0.555484179194405,0.5282701767821113,2.721400241229366
12740,0.7126167194448247,0.5282701767821113,18.434654266271345
12780,0.2690177117306027,0.5282701767821113,-25.925246505150863
12820,0.457832048262537,0.5282701767821113,-7.043812851957432
12860,0.4016119961367547,0.5282701767821113,-12.66581806453566
12900,0.2910059459089849,0.5282701767821113,-23.726423087312643
12940,0.4325645192145472,0.5282701767821113,-9.57056575675641
12980,0.5278520258645731,0.5282701767821113,-0.04181509175381626
13020,0.5530383109386984,0.5282701767821113,2.4768134156587074
13060,0.3464128014747993,0.5282701767821113,-18.1857375307312
13100,0.4329802963817675,0.5282701767821113,-9.528988040034381
13140,0.39890869581441657,0.5282701767821113,-12.936148096769474
13180,0.4406329580991982,0.5282701767821113,-8.763721868291308
13220,0.36093322009573237,0.5282701767821113,-16.733695668637893
13260,0.3637931681080775,0.5282701767821113,-16.44770086740338
13300,0.44561175960862576,0.5282701767821113,-8.265841717348554
13340,0.3527729611214129,0.5282701767821113,-17.54972156606984
13380,0.5818313508580817,0.5282701767821113,5.356117407597038
13420,0.5513192622935517,0.5282701767821113,2.304908551144036
13460,0.48189512114757294,0.5282701767821113,-4.6375055634538365
13500,0.626817088320549,0.5282701767821113,9.854691153843776
13540,0.6703279419146493,0.5282701767821113,14.205776513253799
13620,0.587896401793209,0.5282701767821113,5.962622501109771
13660,0.47325371831002083,0.5282701767821113,-5.501645847209047
13700,0.24613293757564403,0.5282701767821113,-28.21372392064673
13720,0.35244985227626147,0.5282701767821113,-17.582032450584983
13740,0.42830576917804786,0.5282701767821113,-9.996440760406344
13780,0.5136624195114379,0.5282701767821113,-1.4607757270673427
13820,0.4012528533901585,0.5282701767821113,-12.701732339195281
13900,0.369007739369588,0.5282701767821113,-15.926243741252332
13940,0.24352654002443316,0.5282701767821113,-28.474363675767812
