GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,310M200US13220,13220,"United States - In metropolitan statistical area - Beckley, WV Metro Area","Beckley, WV Metro Area",124898,124901,124897,125115,124963,124181,123366,122507
0100000US,,United States,310M200US13380,13380,"United States - In metropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201140,201570,203415,204961,206349,208491,212284
0100000US,,United States,310M200US13460,13460,"United States - In metropolitan statistical area - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157839,159765,161749,165930,170398,175268
0100000US,,United States,310M200US13740,13740,"United States - In metropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159355,160789,162883,165210,166853,168283
0100000US,,United States,310M200US13780,13780,"United States - In metropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251723,251456,250401,249157,248432,247446,246020
0100000US,,United States,310M200US13820,13820,"United States - In metropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1128879,1130905,1133993,1139018,1142823,1145647
0100000US,,United States,310M200US13900,13900,"United States - In metropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115293,117137,120047,123812,126668,129517
0100000US,,United States,310M200US13980,13980,"United States - In metropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178258,178525,178890,179502,180836,181438,181747
0100000US,,United States,310M200US14010,14010,"United States - In metropolitan statistical area - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186444,187368,189102,191271,190356,189413
0100000US,,United States,310M200US14020,14020,"United States - In metropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159542,160139,161838,162687,163272,164605,165577
0100000US,,United States,310M200US14100,14100,"United States - In metropolitan statistical area - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85669,85298,85395,85593,85578,85229
0100000US,,United States,310M200US14260,14260,"United States - In metropolitan statistical area - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616561,618020,627647,637653,650097,664707,676909
0100000US,,United States,310M200US14460,14460,"United States - In metropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4565410,4608426,4652342,4698356,4739385,4774321
0100000US,,United States,310M200US14500,14500,"United States - In metropolitan statistical area - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294571,295986,300671,305548,310706,313864,319372
0100000US,,United States,310M200US14540,14540,"United States - In metropolitan statistical area - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159154,160716,162102,164022,165947,168436
0100000US,,United States,310M200US14740,14740,"United States - In metropolitan statistical area - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251133,251723,254458,254764,253325,254525,260131
0100000US,,United States,310M200US14860,14860,"United States - In metropolitan statistical area - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916850,919744,929013,935238,941793,945816,948053
0100000US,,United States,310M200US15180,15180,"United States - In metropolitan statistical area - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406219,407626,413130,415977,418071,420400,422156
0100000US,,United States,310M200US15260,15260,"United States - In metropolitan statistical area - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112540,113010,113360,113876,114758,116003
0100000US,,United States,310M200US15380,15380,"United States - In metropolitan statistical area - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135551,1135566,1135593,1135198,1136008,1136642,1135230
0100000US,,United States,310M200US15500,15500,"United States - In metropolitan statistical area - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151241,151581,152947,153822,154886,156357,158276
0100000US,,United States,310M200US15540,15540,"United States - In metropolitan statistical area - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211554,212886,213968,215177,216335,217042
0100000US,,United States,310M200US15680,15680,"United States - In metropolitan statistical area - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105151,105758,107779,109019,109510,110350,111413
0100000US,,United States,310M200US15940,15940,"United States - In metropolitan statistical area - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404420,404286,403186,403390,403299,403847,402976
0100000US,,United States,310M200US15980,15980,"United States - In metropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620532,631368,644865,660929,679233,701982
0100000US,,United States,310M200US16020,16020,"United States - In metropolitan statistical area - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96443,97062,97235,97216,97579,97534
0100000US,,United States,310M200US16060,16060,"United States - In metropolitan statistical area - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126821,127043,125742,127012,126651,126828
0100000US,,United States,310M200US16180,16180,"United States - In metropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,55030,54756,54598,54057,54480,54521
0100000US,,United States,310M200US16220,16220,"United States - In metropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75472,76420,78699,81156,81603,82178
0100000US,,United States,310M200US16300,16300,"United States - In metropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257940,258409,260896,261757,262350,263974,266040
