state.fips,state,state.name,precip,temp,aridity,precip_70,temp_70,aridity_70,precip_85,temp_85,aridity_85,precip_95,temp_95,aridity_95,precip_05,temp_05,aridity_05,pvi,gini,surface.water,rpp,rpi
02000,AK,Alaska,957.9948666666667,-2.625462962962963,31.561754139761245,934.8272444444444,-2.923971193415638,31.088796367410392,957.9948666666667,-2.625462962962963,31.561754139761245,945.261,-2.4986111111111113,31.00928997382737,947.1406,-2.6476851851851855,31.230769853911934,-12.017055377289864,0.4175,0.43,105.7,46886
01000,AL,Alabama,1411.224,17.365123456790123,28.033753121295163,1443.0699555555555,17.193930041152264,28.76434495371992,1411.224,17.365123456790123,28.033753121295163,1413.1924999999999,17.41851851851852,28.048205360009373,1375.029,17.442592592592593,27.283688359825483,-13.880583321716319,0.4758,0.95,87.8,39216
05000,AR,Arkansas,1291.3529333333333,15.988888888888889,26.376749993925234,1295.0726222222222,15.807716049382716,26.547253288940855,1291.3529333333333,15.988888888888889,26.376749993925234,1265.301,16.096296296296295,25.801074885030594,1272.5908,16.137962962962963,25.94993342572121,-13.99008065918457,0.4714,0.31,87.5,39630
04000,AZ,Arizona,301.25246666666663,15.94104938271605,6.164442850214997,312.97315555555554,15.681584362139917,6.437216341898323,301.25246666666663,15.94104938271605,6.164442850214997,279.5143,16.138425925925926,5.6930275502995,278.05379999999997,16.174074074074074,5.656885123155285,-7.290658149870885,0.4676,0.58,96.4,36074
06000,CA,California,545.7020666666666,14.799845679012346,11.421009803477972,567.2158666666667,14.591460905349795,11.925958992006578,545.7020666666666,14.799845679012346,11.421009803477972,574.7638999999999,14.910185185185185,12.010037779807146,517.3979999999999,14.966203703703703,10.799763953880706,9.248612699229884,0.489,0.67,112.4,40799
08000,CO,Colorado,463.12666666666667,7.6893518518518515,11.391829121416533,459.8472444444444,7.44917695473251,11.376718489358224,463.12666666666667,7.6893518518518515,11.391829121416533,460.0575,7.853935185185185,11.271676554662688,453.7202,7.815277777777777,11.12845423631634,0.8223897268937963,0.4584,0.86,102,43978
09000,CT,Connecticut,1248.5285333333331,9.741666666666667,29.21785715241031,1257.7628444444445,9.515123456790123,29.58754227202156,1248.5285333333331,9.741666666666667,29.21785715241031,1260.1066999999998,9.90462962962963,29.383379019797314,1288.4912,10.104166666666668,29.902552271871112,7.218440185119507,0.5005,0.93,108.8,54703
11000,DC,District of Columbia,1114.5096666666666,13.57391975308642,23.95310809874798,1121.4946666666665,13.337242798353909,24.221850432401244,1114.5096666666666,13.57391975308642,23.95310809874798,1142.5174,13.674537037037037,24.509058800045374,1140.2821999999999,13.8875,24.339687160557617,40.16719108955546,0.5224,0.5,118.1,54280
10000,DE,Delaware,1130.4354666666666,13.186265432098766,24.49245786818846,1134.505111111111,12.913374485596709,24.72284692320487,1130.4354666666666,13.186265432098766,24.49245786818846,1155.4206,13.347222222222223,24.95536191021464,1145.1082,13.566203703703705,24.611525056899627,8.215529106372227,0.4494,0.78,101.9,41760
12000,FL,Florida,1353.2612,21.67932098765432,24.749862826433873,1351.4775555555555,21.50462962962963,24.795882334863787,1353.2612,21.67932098765432,24.749862826433873,1350.645,21.697685185185186,24.693099230310807,1313.3578,21.724999999999998,24.002509959419623,-1.8960615930783686,0.4834,0.72,99.1,39550
13000,GA,Georgia,1248.0882666666666,17.69567901234568,24.632828782722555,1270.395111111111,17.53045267489712,25.153368855668536,1248.0882666666666,17.69567901234568,24.632828782722555,1234.5162,17.72337962962963,24.353195423920823,1220.089,17.752777777777776,24.065429054130696,-6.119509982645385,0.4801,0.74,92,38869
15000,HI,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.521769511553785,0.4325,0.63,116.8,36176
19000,IA,Iowa,869.1710666666665,8.995987654320988,20.72658310033314,867.1390666666666,8.815843621399177,20.760490520047714,869.1710666666665,8.995987654320988,20.72658310033314,871.4993999999999,9.049537037037037,20.76147760486701,917.8036,9.018055555555556,21.92010866146289,1.0770471805726323,0.4433,0.79,90.3,45678
16000,ID,Idaho,588.6365333333333,6.450462962962963,14.924472119709879,613.246311111111,6.220267489711934,15.649985621021063,588.6365333333333,6.450462962962963,14.924472119709879,610.6922,6.560416666666666,15.439430822696087,599.5416,6.5287037037037035,15.166515452891863,-17.550006002509072,0.4541,0.76,93.4,36096
17000,IL,Illinois,1005.7299333333333,11.349537037037036,22.70065982815135,1006.1899555555555,11.131995884773662,22.813487661153797,1005.7299333333333,11.349537037037036,22.70065982815135,1015.7714,11.408564814814815,22.90241816707498,1042.8224,11.450925925925926,23.526309208432075,7.828876040127002,0.4765,0.93,100.7,43411
18000,IN,Indiana,1085.1472666666666,11.174845679012346,24.581480197863126,1070.6551555555554,10.949382716049383,24.369977622303935,1085.1472666666666,11.174845679012346,24.581480197863126,1104.4682,11.243055555555555,24.98443847166797,1129.3347999999999,11.297685185185184,25.52306584443599,-5.166228254185737,0.4455,0.92,91.4,39750
20000,KS,Kansas,723.5867333333333,12.689197530864197,15.861078884241902,715.7155555555555,12.518415637860082,15.73891176472111,723.5867333333333,12.689197530864197,15.861078884241902,715.6196,12.802083333333334,15.64405100930498,707.3646,12.843518518518518,15.463833956032149,-12.189818960292376,0.4597,0.2,90.7,45421
21000,KY,Kentucky,1229.9526666666666,13.348148148148148,26.55237890103561,1243.8097777777778,13.125102880658437,26.98064060462762,1229.9526666666666,13.348148148148148,26.55237890103561,1252.4613,13.425694444444444,26.99848459388073,1241.7551999999998,13.491666666666667,26.728420179815767,-12.715117668965888,0.4704,0.95,88.7,38684
